MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
0.21799803,1.082185,0.81515545,0.2702175,0.87409645,1.3213297,0.4384297,-0.16592595,0.02510602,0.11163086,-0.44431162,-0.83656144,-0.44650766
1.4301549,-0.9981935,-0.33035848,0.215264,-0.659792,0.79033214,-0.766641,-0.46856052,-0.7282867,-0.44520193,-0.080881484,0.8088228,1.2806201
-0.046759974,-0.8281637,0.1448955,0.06284234,-0.67080843,-0.5186284,-1.1546334,-0.27647927,1.2518659,2.1739442,2.9067988,1.805383,-0.33044863
0.7174927,-0.077952534,-0.30071262,-0.15354013,0.6441243,1.1710864,-0.07048739,-0.8385628,-0.17225668,-0.429328,-0.5339681,-0.36487556,-0.617413
-0.07234008,-0.5652329,-0.058482785,0.41166586,-0.38208905,0.26107666,-0.3064991,0.20723878,0.11570692,-0.11185313,-0.8281621,-0.61462766,-0.62376535
1.2091837,-0.55375314,-0.13871826,0.49707848,0.32943803,0.67110837,-0.57953227,-0.119719505,0.6796925,1.9204034,1.8582952,1.2891449,0.03114266
1.2009299,-0.24084169,-0.39413992,0.5773679,0.023567934,0.977109,-0.4300477,0.2600725,-0.1550519,-0.591263,-1.4047797,-0.9596096,-1.1319815
0.18606713,0.76235646,1.1583118,0.36344397,1.5004514,1.691918,0.5641663,-0.44162288,0.46722794,0.73272747,0.49731952,-0.2523136,-0.16603246
0.4176475,-0.07570742,-0.33256182,0.069369934,0.26416466,0.52356607,-0.19367589,-0.80169475,-0.36839837,-0.2919456,-0.61239624,-0.6765595,-0.4414797
1.348985,-0.36329845,-0.36831146,0.8125913,-0.88360626,0.6843595,-0.37825423,0.31970555,-0.144501,-0.24537319,-0.6674948,-0.38962588,-0.630932
0.27282265,0.45418885,0.35652158,0.22287062,0.7353857,0.6443489,0.10654426,-0.4811873,-0.07311591,0.5502441,0.18040341,-0.9843011,-1.2504219
-0.4465389,0.6909601,1.2042502,0.57163435,0.9169741,0.98291254,0.6600234,-0.30263016,0.5002244,0.36988783,0.24551962,-0.07256633,-0.22584872
-0.17553309,1.2446727,1.536388,0.7731448,1.0329199,1.2162485,0.30219954,-0.16971342,0.40128338,0.27558896,0.038176388,-0.12440515,-0.17175639
1.0590984,2.071701,0.8703169,0.023269156,1.0683998,1.1245252,-1.0839581,-1.4544157,-0.40382075,0.04726245,-0.39107832,-0.7215433,-0.80575
1.212213,1.0292097,0.085622124,-0.078681946,0.63927907,0.87711114,0.024784554,-0.5006211,-0.017677592,0.6533748,0.1378886,-0.4190114,-0.7267621
0.38710886,0.5045942,0.19271421,0.3616748,0.49776152,0.3847127,-0.3887791,-0.4732158,-0.52153856,-0.38317132,-0.22346683,-0.36189368,-0.3845365
-0.4043129,-0.9923883,0.1990034,0.12954141,-0.3356416,-0.08644518,-0.55898964,0.07138472,0.861809,1.6559672,2.1363897,1.2738545,-0.4993737
0.65220237,-0.2401097,-0.33966336,0.13219321,0.15465796,0.62836653,0.4210309,-0.6168619,-0.53043604,-0.18187986,-0.25854614,-1.1316423,-0.5104897
2.0040154,1.7236336,-0.026056174,-0.30818787,0.28206944,0.7676677,-0.8147317,-0.27108002,0.16437067,0.70854855,0.014753636,-0.7227933,-0.32362565
-0.72271454,0.615533,1.2850317,1.1081064,1.6540368,1.6015182,0.9949875,0.3350301,0.7444647,0.34558877,0.08914432,-0.09427042,-0.065437235
-0.98948455,-0.032558516,1.2269809,1.1165497,1.5766037,1.0958345,0.62396586,0.011789927,0.45305902,0.17067277,0.030343667,-0.14362179,-0.13196279
0.8483537,0.13167495,-0.19378303,0.5463606,0.46357557,1.0041697,-0.06998981,-0.09499961,-0.4587936,-0.53717357,-0.3324328,-0.61032003,-0.6000053
0.8724932,0.2909365,0.31089315,0.5547763,0.70404476,0.89548594,-0.003030016,-0.14978464,-0.30655947,-0.29899937,-0.2425769,-0.4538048,-0.523225
0.086810194,-0.11696051,0.24311468,0.17763819,0.68574286,0.49313697,-0.146721,-0.8127742,-0.5033789,-0.42231277,-0.46165583,-0.9105739,-0.8230616
-0.8533711,-0.69392043,0.36657998,0.15302919,0.3133637,0.19707869,-0.11326359,-0.5675852,-0.11056523,-0.095214464,-0.20631877,-0.4849883,-0.23864351
0.7244555,1.3140227,0.8332061,0.009880913,0.66546667,0.914179,0.15170656,-0.43380094,0.9711759,0.81065667,0.11576703,-0.9423217,-0.71374273
0.56601393,0.65429354,0.46824607,-0.014570465,0.8964162,0.7267794,0.00075619895,0.08184633,0.53945637,0.14349976,0.16803373,-0.3393616,-0.72034824
0.44894028,0.94060105,0.5783808,-0.040595714,1.3849158,1.0054425,0.373848,-0.35013756,0.6361596,0.9017283,0.52784234,-0.5205902,-0.7048353
1.1361109,-0.4465504,-0.33859155,0.30969504,-0.20180461,0.019402469,-0.7763826,0.3009753,2.1039755,2.3105607,1.3802843,-0.9980198,-2.4581082
0.2924759,1.1880136,0.98106825,0.7813302,0.91738397,1.1004992,0.1927866,-0.20599738,0.20220742,0.022621492,-0.6675815,-0.8966791,-0.69864935
0.9071714,1.1456603,0.4397767,-0.01623017,1.0671093,0.5942418,-0.09983592,-0.0986011,1.0733191,0.58202547,0.3541224,-0.40500277,-0.794638
